transcript_id,who,tissue,ERCC_R,batch
DB_1_F_02_S44_L004,DB,fry,0.807658,db1
DB_1_F_04_S46_L004,DB,fry,0.837004,db1
DB_1_F_06_S48_L004,DB,fry,0.858766,db1
DB_1_F_10_S51_L004,DB,fry,0.814134,db1
DB_1_F_12_S53_L004,DB,fry,0.807823,db1
DB_1_F_14_S55_L004,DB,fry,0.878301,db1
DB_1_L_01_S43_L004,DB,liver,0.753139,db1
DB_1_L_03_S45_L004,DB,liver,0.827846,db1
DB_1_L_05_S47_L004,DB,liver,0.872462,db1
DB_1_L_07_S49_L004,DB,liver,0.86356,db1
DB_1_L_09_S50_L004,DB,liver,0.782584,db1
DB_1_L_11_S52_L004,DB,liver,0.802431,db1
DB_1_L_13_S54_L004,DB,liver,0.874644,db1
DB_1_L_15_S56_L004,DB,liver,0.843426,db1
DB_2_F_02_S58_L004,DB,fry,0.91916,db2
DB_2_F_04_S60_L004,DB,fry,0.914254,db2
DB_2_F_06_S62_L004,DB,fry,0.863302,db2
DB_2_F_10_S65_L004,DB,fry,0.88624,db2
DB_2_F_12_S67_L004,DB,fry,0.897889,db2
DB_2_F_14_S69_L004,DB,fry,0.903416,db2
DB_2_L_01_S57_L004,DB,liver,0.959158,db2
DB_2_L_03_S59_L004,DB,liver,0.945522,db2
DB_2_L_05_S61_L004,DB,liver,0.913233,db2
DB_2_L_07_S63_L004,DB,liver,0.920503,db2
DB_2_L_09_S64_L004,DB,liver,0.875409,db2
DB_2_L_11_S66_L004,DB,liver,0.909929,db2
DB_2_L_13_S68_L004,DB,liver,0.902234,db2
DB_2_L_15_S70_L004,DB,liver,0.914698,db2
DB_3_F_02_S72_L004,DB,fry,0.928604,db3
DB_3_F_04_S74_L004,DB,fry,0.950821,db3
DB_3_F_06_S76_L004,DB,fry,0.899086,db3
DB_3_F_10_S79_L004,DB,fry,0.950171,db3
DB_3_F_12_S81_L004,DB,fry,0.86181,db3
DB_3_F_14_S83_L004,DB,fry,0.932797,db3
DB_3_L_01_S71_L004,DB,liver,0.923151,db3
DB_3_L_03_S73_L004,DB,liver,0.943018,db3
DB_3_L_05_S75_L004,DB,liver,0.92278,db3
DB_3_L_07_S77_L004,DB,liver,0.896594,db3
DB_3_L_09_S78_L004,DB,liver,0.924979,db3
DB_3_L_11_S80_L004,DB,liver,0.913072,db3
DB_3_L_13_S82_L004,DB,liver,0.947949,db3
DB_3_L_15_S84_L004,DB,liver,0.950804,db3
MB_1_F_04_S1_L001,MB,fry,0.899697,mb1
MB_1_F_05_S2_L001,MB,fry,0.835232,mb1
MB_1_F_06_S3_L001,MB,fry,0.907648,mb1
MB_1_F_12_S4_L001,MB,fry,0.918339,mb1
MB_1_F_13_S5_L001,MB,fry,0.931556,mb1
MB_1_F_14_S6_L001,MB,fry,0.92284,mb1
MB_1_L_01_S7_L001,MB,liver,0.943805,mb1
MB_1_L_02_S8_L001,MB,liver,0.931768,mb1
MB_1_L_03_S9_L001,MB,liver,0.915068,mb1
MB_1_L_07_S10_L001,MB,liver,0.913513,mb1
MB_1_L_09_S11_L001,MB,liver,0.909864,mb1
MB_1_L_10_S12_L001,MB,liver,0.919422,mb1
MB_1_L_11_S13_L001,MB,liver,0.937886,mb1
MB_1_L_15_S14_L001,MB,liver,0.950001,mb1
MB_2_F_04_S15_L001,MB,fry,0.914565,mb2
MB_2_F_05_S16_L001,MB,fry,0.947374,mb2
MB_2_F_06_S17_L001,MB,fry,0.930746,mb2
MB_2_F_12_S18_L001,MB,fry,0.917375,mb2
MB_2_F_13_S19_L001,MB,fry,0.928706,mb2
MB_2_F_14_S20_L001,MB,fry,0.923379,mb2
MB_2_L_01_S21_L001,MB,liver,0.932124,mb2
MB_2_L_02_S22_L001,MB,liver,0.930976,mb2
MB_2_L_03_S23_L001,MB,liver,0.945991,mb2
MB_2_L_07_S24_L001,MB,liver,0.929877,mb2
MB_2_L_09_S25_L001,MB,liver,0.931679,mb2
MB_2_L_11_S26_L001,MB,liver,0.950421,mb2
MB_2_L_15_S27_L001,MB,liver,0.946967,mb2
MB_3_F_04_S28_L001,MB,fry,0.923153,mb3
MB_3_F_05_S29_L001,MB,fry,0.926602,mb3
MB_3_F_06_S30_L001,MB,fry,0.943774,mb3
MB_3_F_12_S31_L001,MB,fry,0.941663,mb3
MB_3_F_13_S32_L001,MB,fry,0.960124,mb3
MB_3_F_14_S33_L001,MB,fry,0.920456,mb3
MB_3_L_01_S34_L001,MB,liver,0.923178,mb3
MB_3_L_02_S35_L001,MB,liver,0.943975,mb3
MB_3_L_03_S36_L001,MB,liver,0.948029,mb3
MB_3_L_07_S37_L001,MB,liver,0.939727,mb3
MB_3_L_08_S38_L001,MB,liver,0.943689,mb3
MB_3_L_09_S39_L001,MB,liver,0.948291,mb3
MB_3_L_10_S40_L001,MB,liver,0.959238,mb3
MB_3_L_11_S41_L001,MB,liver,0.944399,mb3
MB_3_L_15_S42_L001,MB,liver,0.951218,mb3
MJS_1_F_05_S43_L001,MJS,fry,0.929507,mjs1
MJS_1_F_06_S44_L001,MJS,fry,0.933902,mjs1
MJS_1_F_07_S45_L001,MJS,fry,0.935418,mjs1
MJS_1_F_13_S46_L001,MJS,fry,0.919635,mjs1
MJS_1_F_14_S47_L001,MJS,fry,0.942094,mjs1
MJS_1_F_15_S48_L001,MJS,fry,0.935987,mjs1
MJS_1_L_01_S49_L001,MJS,liver,0.935215,mjs1
MJS_1_L_02_S50_L001,MJS,liver,0.955265,mjs1
MJS_1_L_03_S51_L001,MJS,liver,0.940993,mjs1
MJS_1_L_04_S52_L001,MJS,liver,0.939437,mjs1
MJS_1_L_09_S53_L001,MJS,liver,0.897382,mjs1
MJS_1_L_10_S54_L001,MJS,liver,0.946917,mjs1
MJS_1_L_11_S55_L001,MJS,liver,0.91138,mjs1
MJS_1_L_12_S56_L001,MJS,liver,0.953782,mjs1
MJS_2_F_04_S57_L001,MJS,fry,0.929651,mjs2
MJS_2_F_05_S58_L001,MJS,fry,0.939784,mjs2
MJS_2_F_06_S59_L001,MJS,fry,0.953429,mjs2
MJS_2_F_12_S60_L001,MJS,fry,0.945302,mjs2
MJS_2_F_13_S61_L001,MJS,fry,0.922526,mjs2
MJS_2_F_14_S62_L001,MJS,fry,0.907982,mjs2
MJS_2_L_01_S63_L001,MJS,liver,0.951215,mjs2
MJS_2_L_02_S64_L001,MJS,liver,0.922927,mjs2
MJS_2_L_03_S65_L001,MJS,liver,0.951585,mjs2
MJS_2_L_07_S66_L001,MJS,liver,0.934095,mjs2
MJS_2_L_09_S67_L001,MJS,liver,0.925423,mjs2
MJS_2_L_10_S68_L001,MJS,liver,0.939218,mjs2
MJS_2_L_11_S69_L001,MJS,liver,0.941869,mjs2
MJS_2_L_15_S70_L001,MJS,liver,0.953776,mjs2
MJS_3_F_04_S71_L001,MJS,fry,0.945168,mjs3
MJS_3_F_06_S72_L001,MJS,fry,0.943323,mjs3
MJS_3_F_12_S73_L001,MJS,fry,0.96957,mjs3
MJS_3_F_13_S74_L001,MJS,fry,0.965631,mjs3
MJS_3_F_14_S75_L001,MJS,fry,0.94388,mjs3
MJS_3_F_16_S76_L001,MJS,fry,0.922079,mjs3
MJS_3_L_01_S77_L001,MJS,liver,0.929701,mjs3
MJS_3_L_02_S78_L001,MJS,liver,0.951539,mjs3
MJS_3_L_03_S79_L001,MJS,liver,0.952789,mjs3
MJS_3_L_07_S80_L001,MJS,liver,0.948586,mjs3
MJS_3_L_09_S81_L001,MJS,liver,0.951182,mjs3
MJS_3_L_10_S82_L001,MJS,liver,0.958528,mjs3
MJS_3_L_11_S83_L001,MJS,liver,0.947265,mjs3
MJS_3_L_15_S84_L001,MJS,liver,0.954535,mjs3
NM_1_F_04_S4_L004,NM,fry,0.906404,nm1
NM_1_F_05_S5_L004,NM,fry,0.871913,nm1
NM_1_F_06_S6_L004,NM,fry,0.924537,nm1
NM_1_F_12_S11_L004,NM,fry,0.946915,nm1
NM_1_F_13_S12_L004,NM,fry,0.886322,nm1
NM_1_F_14_S13_L004,NM,fry,0.880345,nm1
NM_1_L_01_S1_L004,NM,liver,0.908862,nm1
NM_1_L_02_S2_L004,NM,liver,0.92683,nm1
NM_1_L_03_S3_L004,NM,liver,0.902213,nm1
NM_1_L_07_S7_L004,NM,liver,0.939715,nm1
NM_1_L_09_S8_L004,NM,liver,0.938677,nm1
NM_1_L_10_S9_L004,NM,liver,0.892867,nm1
NM_1_L_11_S10_L004,NM,liver,0.914309,nm1
NM_1_L_15_S14_L004,NM,liver,0.849599,nm1
NM_2_F_04_S18_L004,NM,fry,0.892673,nm2
NM_2_F_05_S19_L004,NM,fry,0.940875,nm2
NM_2_F_06_S20_L004,NM,fry,0.917036,nm2
NM_2_F_12_S25_L004,NM,fry,0.924539,nm2
NM_2_F_13_S26_L004,NM,fry,0.897786,nm2
NM_2_F_14_S27_L004,NM,fry,0.86025,nm2
NM_2_L_01_S15_L004,NM,liver,0.947446,nm2
NM_2_L_02_S16_L004,NM,liver,0.950023,nm2
NM_2_L_03_S17_L004,NM,liver,0.924128,nm2
NM_2_L_07_S21_L004,NM,liver,0.892395,nm2
NM_2_L_09_S22_L004,NM,liver,0.923543,nm2
NM_2_L_10_S23_L004,NM,liver,0.953932,nm2
NM_2_L_11_S24_L004,NM,liver,0.882203,nm2
NM_2_L_15_S28_L004,NM,liver,0.924168,nm2
NM_3_F_04_S32_L004,NM,fry,0.945769,nm3
NM_3_F_05_S33_L004,NM,fry,0.908597,nm3
NM_3_F_06_S34_L004,NM,fry,0.931568,nm3
NM_3_F_12_S39_L004,NM,fry,0.883807,nm3
NM_3_F_13_S40_L004,NM,fry,0.937707,nm3
NM_3_F_14_S41_L004,NM,fry,0.934611,nm3
NM_3_L_01_S29_L004,NM,liver,0.945458,nm3
NM_3_L_02_S30_L004,NM,liver,0.938014,nm3
NM_3_L_03_S31_L004,NM,liver,0.955384,nm3
NM_3_L_07_S35_L004,NM,liver,0.942937,nm3
NM_3_L_09_S36_L004,NM,liver,0.939666,nm3
NM_3_L_10_S37_L004,NM,liver,0.95831,nm3
NM_3_L_11_S38_L004,NM,liver,0.929476,nm3
NM_3_L_15_S42_L004,NM,liver,0.951779,nm3
